TIMESTAMP,
RECORD,
batt_volt_Min,BatteryVoltage
PTemp,PanelTemp
AirTemp_Avg,AirTemp_AbvCnpy
RH_Avg,RelHum_AbvCnpy
Pressure,Pressure
SnowDepth,SnowDepth
PAR_Irridiance_1_Avg,DownPAR_AbvCnpy
PAR_Irridiance_2_Avg,UpPAR_AbvCnpy
PAR_Irridiance_3_Avg,DownPAR_BlwCnpy_2m
Short_up_Avg,UpShortwaveRad
Short_dn_Avg,DownShortwaveRad
Long_up_corr_Avg,UpLongwaveRad_AbvCnpy
Long_dn_corr_Avg,DownLongwaveRad_AbvCnpy
Rs_net_Avg,NetShortwave_AbvCnpy
Rl_net_Avg,NetLongwave_AbvCnpy
Albedo_Avg,Albedo
Rn_Avg,NetRad_AbvCnpy
HeatFlux_Avg(1),SoilHeatFlux_HFT_1
HeatFlux_Avg(2),SoilHeatFlux_HFT_2
HeatFlux_Avg(3),SoilHeatFlux_HFT_3
HeatFlux_Avg(4),SoilHeatFlux_HFT_4
WindSpeedAvg,WindSpd
WindDirAvg,WindDir
WindDirStd,WindDir_Std
WP_kPa_Avg(1),SWP_A_2cm
WP_kPa_Avg(2),SWP_A_5cm
WP_kPa_Avg(3),SWP_A_10cm
WP_kPa_Avg(4),SWP_A_20cm
WP_kPa_Avg(5),SWP_A_50cm
WP_kPa_Avg(6),SWP_A_100cm
WP_kPa_Avg(7),SWP_B_2cm
WP_kPa_Avg(8),SWP_B_5cm
WP_kPa_Avg(9),SWP_B_10cm
WP_kPa_Avg(10),SWP_B_20cm
WP_kPa_Avg(11),SWP_B_50cm
WP_kPa_Avg(12),SWP_B_100cm
kOhms_Avg(1),kOhms_A_2cm
kOhms_Avg(2),kOhms_A_5cm
kOhms_Avg(3),kOhms_A_10cm
kOhms_Avg(4),kOhms_A_20cm
kOhms_Avg(5),kOhms_A_50cm
kOhms_Avg(6),kOhms_A_100cm
kOhms_Avg(7),kOhms_B_2cm
kOhms_Avg(8),kOhms_B_5cm
kOhms_Avg(9),kOhms_B_10cm
kOhms_Avg(10),kOhms_B_20cm
kOhms_Avg(11),kOhms_B_50cm
kOhms_Avg(12),kOhms_B_100cm
VWC_1_Avg,SM_A_2cm
EC_1_Avg,EC_A_2cm
Temp_1_Avg,SoilTemp_A_2cm
VWC_2_Avg,SM_A_5cm
EC_2_Avg,EC_A_5cm
Temp_2_Avg,SoilTemp_A_5cm
VWC_3_Avg,SM_A_10cm
EC_3_Avg,EC_A_10cm
Temp_3_Avg,SoilTemp_A_10cm
VWC_4_Avg,SM_A_20cm
EC_4_Avg,EC_A_20cm
Temp_4_Avg,SoilTemp_A_20cm
VWC_5_Avg,SM_A_50cm
EC_5_Avg,EC_A_50cm
Temp_5_Avg,SoilTemp_A_50cm
VWC_6_Avg,SM_A_100cm
EC_6_Avg,EC_A_100cm
Temp_6_Avg,SoilTemp_A_100cm
VWC_7_Avg,SM_B_2cm
EC_7_Avg,EC_B_2cm
Temp_7_Avg,SoilTemp_B_2cm
VWC_8_Avg,SM_B_5cm
EC_8_Avg,EC_B_5cm
Temp_8_Avg,SoilTemp_B_5cm
VWC_9_Avg,SM_B_10cm
EC_9_Avg,EC_B_10cm
Temp_9_Avg,SoilTemp_B_10cm
VWC_10_Avg,SM_B_20cm
EC_10_Avg,EC_B_20cm
Temp_10_Avg,SoilTemp_B_20cm
VWC_11_Avg,SM_B_50cm
EC_11_Avg,EC_B_50cm
Temp_11_Avg,SoilTemp_B_50cm
VWC_12_Avg,SM_B_100cm
EC_12_Avg,EC_B_100cm
Temp_12_Avg,SoilTemp_B_100cm
Precip_mm_Avg,Precipitation
CO2_cpy_Avg,CO2_Cnpy
